address,city,country,longitude,name,province_nameChanged
309 S Pearson Rd.,Pearl,US,-90.13568,Waffle House,AL
4337 Robinson St,Jackson,US,-90.258128236,Popeye's Chicken & Biscuits,AL
4725 Clinton Blvd,Jackson,US,-90.251587368,Popeye's Chicken & Biscuits,AL
605 W US Highway 18,Garner,US,-93.607445,Hardee's,IA
202 11th Street Sw Plz,Spencer,US,-95.14723,Burger King,IA
1705 W Burlington Ave,Fairfield,US,-91.98436,McDonald's,IA
3022 5th Ave S,Fort Dodge,US,-94.15404,Jimmy Johns,IA
2313 5th Ave S,Fort Dodge,US,-94.16583,Wendy's,IA
2509 5th Ave S,Fort Dodge,US,-94.16261,McDonald's,IA
1755 John F Kennedy Rd,Dubuque,US,-90.72184,Arby's,IA
1255 E 16th St,Dubuque,US,-90.6552,Wendy's,IA
6466 Poplar Ave,Memphis,US,-89.848067,Back Yard Burgers,TN
2209 Circle Dr W,Spirit Lake,US,-95.12424,Burger King,IA
815 West Second Street,Tifton,US,-83.526697,Krystal,GA
810 2nd St W,Tifton,US,-83.52582,Arby's,GA
303 S Magnolia Street,Tifton,US,-83.524973,Bojangles' Famous Chicken 'n Biscuits,GA
420 Rhomberg Ave,Dubuque,US,-90.666233,Hardee's,IA
620 Iowa St,Dubuque,US,-90.665046,McDonald's,IA
2196 University Ave,Dubuque,US,-90.69409,Hardee's,IA
614 S Highland St,Memphis,US,-89.94567,McDonald's,TN
108 E Brazell Street,Reidsville,US,-82.1169,McDonald's,GA
6804 Casino Strip Resort Blvd,Robinsonville,US,-90.315636,Checkers,MS
2515 Main St,Cedar Falls,US,-92.44636,McDonald's,IA
1203 4th Stsw,Waverly,US,-92.47495,McDonald's,IA
610 W 1st St,Cedar Falls,US,-92.452172,McDonald's,IA
70 Goodman Road,Southaven,US,-89.991071,Krystal,MS
1330 Poplar Ave,Memphis,US,-90.0163,Burger King,TN
6428 E Shelby Dr,Memphis,US,-89.849198,Burger King,TN
3675 Lamar Ave,Memphis,US,-89.9415,Krystal,TN
3591 Lamar Ave,Memphis,US,-89.944386,Burger King,TN
2090 Union Ave,Memphis,US,-89.99183,Burger King,TN
1130 N Quincy Ave,Ottumwa,US,-92.437886,Arby's,IA
1122 N Quincy Ave,Ottumwa,US,-92.438456,Burger King,IA
2804 Grand Ave,Billings,US,-108.58727,Domino's Pizza,MT
904 Main St Ste 1,Billings,US,-108.4716,Domino's Pizza,MT
608 Wyoming Ave,Creston,US,-94.367339,McDonald's,IA
915 Short St,Decorah,US,-91.79683,McDonald's,IA
915 Short St,Decorah,US,-91.7971,Integrated Therapy Specialists: Arnold D Larson,IA
506 S Main St,Swainsboro,US,-82.321669,McDonald's,GA
302 S Main St,Swainsboro,US,-82.3314,KFC,GA
501 S Main St,Swainsboro,US,-82.321876,Hardee's,GA
413 S Main St,Swainsboro,US,-82.32731,Burger King,GA
115 S Roosevelt Ave,Burlington,US,-91.141513,Wendy's,IA
405 S Roosevelt Ave,Burlington,US,-91.142192,Arby's,IA
830 N 2nd St,Clinton,US,-90.18691,Jimmy John's,IA
729 N 2nd St,Clinton,US,-90.18702,McDonald's,IA
825 N 2nd St,Clinton,US,-90.186586,Wendy's,IA
1804 Lincoln Way,Clinton,US,-90.229246,McDonald's,IA
427 E 6th St,Carroll,US,-94.86163,Jimmy John's,IA
912 W Highway 30 St,Carroll,US,-94.8767,McDonald's,IA
1515 Plaza Drive,Carroll,US,-94.843281,Arby's,IA
915 W US Highway 30,Carroll,US,-94.87785,Burger King,IA
605 Flindt Dr,Storm Lake,US,-95.188684,Hardee's,IA
613 Flindt Dr,Storm Lake,US,-95.1881,KFC,IA
1300 Lake Ave,Storm Lake,US,-95.20075,Burger King,IA
2401 4th St SW,Mason City,US,-93.236725,Arby's,IA
515 S Delaware Ave,Mason City,US,-93.19974,Hardee's,IA
2310 4th St SW,Mason City,US,-93.235558,Burger King,IA
1102 Highway 72 E,Corinth,US,-88.51157,Domino's Pizza,MS
705 1st Ave E,Newton,US,-93.04532,Burger King,IA
317 W 6th St Ste 105-106,Moscow,US,-117.00437,Domino's Pizza,ID
120 Boone Heights Dr,Boone,US,-81.656779,Burger King,NC
525 W King St,Boone,US,-81.68616,Jimmy John's,NC
1778 Blowing Rock Rd,Boone,US,-81.65861,Jimmy John's,NC
3100 Foothills Ave,Mountain Home,US,-115.66251,Jack In The Box,ID
2910 American Legion Blvd,Mountain Home,US,-115.665115,Wendy's,ID
2840 American Legion Blvd,Mountain Home,US,-115.66442,McDonald's,ID
946 Carolina Ave,Washington,US,-77.0592,Waffle House,NC
1212 N Main Ave,Sioux Center,US,-96.17456,McDonald's,IA
869 Pole Line Rd,Twin Falls,US,-114.45867,McDonald's,ID
1733 Addison Ave E,Twin Falls,US,-114.45229,Pizza Hut,ID
305 Blue Lakes Blvd N,Twin Falls,US,-114.46094,McDonald's,ID
200 1st St W,Independence,US,-91.895944,Burger King,IA
1811 1st St W,Independence,US,-91.91736,McDonald's,IA
215 Wb McLean Dr,Swansboro,US,-77.06811,Quiznos,NC
1243 Parkway Drive,Blackfoot,US,-112.35846,Arby's,ID
1205 Parkway Dr,Blackfoot,US,-112.35766,Burger King,ID
1115 New Pointe Blvd,Leland,US,-78.0233,Arby's,NC
700 N Webster St,Taylorville,US,-89.29686,Wendy's,IL
610 N Webster St,Taylorville,US,-89.297434,Taco Bell,IL
510 N Webster St,Taylorville,US,-89.297,KFC,IL
805 S Kalamazoo St,Paw Paw,US,-85.890822,Arby's,MI
2707 Trademark Rd,Wilmington,US,-77.852936,Burger King,NC
805 S College Rd,Wilmington,US,-77.88306,Burger King,NC
2050 N State Road 50,Bourbonnais,US,-87.8501,McDonalds,IL
418 Roland Ave,Holly Ridge,US,-77.546369,Hardee's,NC
220 Lake Park Blvd,Carolina Beach,US,-77.89517,McDonald's,NC
109 Village Road,Leland,US,-77.996404,Bojangles' Famous Chicken 'n Biscuits,NC
104 Village Rd NE,Leland,US,-77.996,KFC,NC
901 North Grand,Springfield,US,-89.6428,McDonald's,IL
107 Ariel Circle,Osceola,US,-93.796834,Taco Bell,IA
910 Cedar St,Tipton,US,-91.12799,Subway,IA
601 Cedar St,Tipton,US,-91.128399,Hardee's,IA
2883 S Carolina 160,Fort Mill,US,-80.9922,McDonalds,SC
510 Rigby Lake Dr,Rigby,US,-111.9088,Wendy's,ID
2740 South Hitt Road,Idaho Falls,US,-111.985083,Taco Bell,ID
424 S Woodruff Ave,Idaho Falls,US,-111.99958,Jack in the Box,ID
123 S 4th Ave,Pocatello,US,-112.44441,Jack in the Box,ID
625 S 5th Ave,Pocatello,US,-112.43917,Jimmy John's,ID
1544 Pocatello Creek Rd,Pocatello,US,-112.43338,Subway,ID
791 Yellowstone Ave,Pocatello,US,-112.45208,Arby's,ID
929 Yellowstone Ave,Pocatello,US,-112.451452,Wendy's,ID
1735 E Vienna St,Anna,US,-89.22777,Burger King,IL
140 E Vienna St,Anna,US,-89.245351,Hardee's,IL
1195 E Vienna Street,Anna,US,-89.23027,Taco Bell,IL
568 N 2nd E,Rexburg,US,-111.77808,KFC,ID
